rider_id,hours
8222,16
6445,16
2344,16
5637,16
4846,16
4774,16
6810,16
643,16
6469,16
6764,16
10991,16
10601,16
2685,16
4658,16
12291,17
5136,17
10235,17
4327,17
11037,17
2067,17
5010,17
5559,17
5398,17
10628,17
1154,17
13545,17
15138,17
18471,17
7721,16
10917,16
20967,16
7771,16
9294,16
6574,16
7212,16
4411,16
15656,17
9617,17
14099,17
208,17
10033,17
12409,17
19219,17
15455,16
5088,16
20467,16
7712,16
9830,16
19538,16
2933,17
15861,17
16811,17
6540,17
9043,17
12123,17
7797,17
9391,16
1972,16
10219,16
16228,16
2712,16
20542,16
20489,16
4108,16
8225,16
181,16
1933,16
11613,16
5616,16
11867,16
6872,16
687,16
19275,16
6737,16
17100,17
3605,17
8374,17
4986,17
6273,17
152,17
15036,17
6671,17
8388,17
822,17
12492,17
11981,17
19175,17
2795,17
6206,16
6005,16
19674,16
18019,16
3198,16
1292,16
5232,16
20522,16
2444,16
2484,16
12105,16
8535,16
20941,17
16590,17
20442,17
1896,17
2718,17
1179,17
4167,17
11486,16
4557,16
13869,16
8179,16
4824,16
4555,16
2818,16
5911,17
18105,17
17118,17
17471,17
6460,17
3043,17
13196,17
10639,17
12284,16
17447,16
18069,16
11805,16
5041,16
9736,16
14616,16
5191,16
1078,16
18469,16
3363,16
10519,16
4803,16
21406,16
11638,16
17233,16
4512,16
4449,16
10308,16
10434,16
8797,17
12561,17
10131,17
7051,17
5709,17
9658,17
5740,17
9960,17
16887,17
922,17
6288,17
4551,17
5973,17
3193,17
3707,17
4870,17
11035,17
11320,17
5782,17
4900,17
3275,17
9178,16
4547,16
5913,16
9193,16
20221,16
14626,16
6108,16
717,16
7398,16
17705,16
9627,16
2804,17
3018,17
1717,17
20651,17
9251,17
7153,17
17880,17
2976,16
437,16
6586,16
20385,16
12934,16
5618,16
20373,16
6545,16
5287,16
1689,16
14463,17
19674,17
3109,17
10358,17
3342,17
2485,17
7897,17
18339,16
17655,16
9811,16
10877,16
7619,16
13634,16
7676,16
4826,16
8557,16
3250,16
9559,16
5367,16
4817,17
3059,17
4741,17
10070,17
18388,17
16588,17
4597,17
1865,17
8248,17
13909,17
17381,17
21559,17
3421,17
3230,17
18508,17
21564,17
9781,18
8931,16
14858,16
1383,16
6058,16
10182,16
15103,16
1912,16
13189,16
18839,16
6127,16
6237,16
4697,16
4083,16
1352,16
19392,16
1470,17
5074,16
10039,16
16983,17
13902,17
19750,17
6339,17
18100,17
20904,17
16458,17
8650,17
2221,17
5223,17
17123,16
5309,16
1626,16
13344,16
6181,16
14769,16
6380,16
11453,16
11750,16
5330,16
5266,17
19023,17
24,17
10462,17
20189,17
20124,17
16741,17
5027,18
797,17
9,16
13599,16
2220,16
20832,16
21162,16
7915,16
5723,16
11160,16
14381,16
14648,16
20332,16
19769,16
16654,16
21151,16
3124,16
8290,16
16670,16
4299,17
1905,17
4094,17
6296,17
7683,17
6077,17
21451,17
1472,17
13339,17
19964,17
4774,17
9704,17
3452,17
17009,17
5731,17
4857,17
4064,17
5434,17
20850,16
14276,16
5532,16
15709,16
2342,16
3267,16
5778,16
3668,16
12385,16
115,16
20214,16
4300,16
16637,16
19773,16
20485,17
2144,17
20364,17
2728,17
14358,16
20035,16
7250,16
20401,16
8057,17
4392,17
19641,17
8854,17
6105,17
12067,17
1679,17
17590,17
530,17
8703,16
2356,16
7588,16
10416,16
10144,16
2181,16
2755,16
11383,16
6263,16
21136,16
8083,16
7726,16
4904,16
1672,16
16198,16
2216,16
4611,17
1373,17
6397,17
13634,17
12361,17
2380,17
7141,17
13410,17
4330,17
438,17
17952,17
269,17
7254,17
9449,17
4027,17
11040,18
3993,17
10817,16
20635,16
15067,16
7527,16
3390,16
13313,16
2624,16
2744,16
1755,16
16969,16
1461,16
6570,16
5342,16
13577,17
17259,16
16234,16
8279,17
5080,17
9483,17
2475,17
73,17
12612,17
6446,17
4952,17
2465,17
6650,18
9266,16
18844,16
8832,16
15407,16
17943,16
4625,16
17657,16
20478,16
8685,17
10836,17
483,17
561,17
235,17
4666,17
8131,17
9630,17
867,16
8047,16
7548,16
6132,16
9126,16
4316,16
16847,16
5389,16
18191,16
5500,16
3179,16
9450,16
7805,16
11107,16
10496,16
9587,17
1464,17
460,17
1347,17
5144,17
273,17
13472,17
13234,17
5738,17
13457,17
199,17
21555,17
14647,17
6244,17
5221,17
5899,17
11748,17
8716,17
10053,16
15556,16
6262,16
20399,16
13907,16
795,16
1396,16
8617,16
5319,17
14692,17
4249,17
1954,17
9784,17
17839,17
20594,17
1808,17
401,17
13945,18
20438,16
13412,16
9159,16
19023,16
13133,16
7647,16
10931,16
16431,16
19125,17
18763,17
7154,17
20492,17
13475,17
6646,17
12008,17
3001,17
20312,16
12422,16
13060,16
21507,16
13398,16
2507,16
9022,16
4907,16
8098,16
16214,16
6104,16
4536,16
9112,16
10500,16
21078,16
18127,16
11316,16
6382,16
8426,16
8906,16
19255,16
6569,16
21221,16
12818,17
6569,17
376,17
19769,17
6205,17
12039,17
20996,17
4528,17
4264,17
8256,17
21134,17
9771,17
8966,17
7866,17
10396,17
1767,18
3362,16
6259,16
10723,16
18826,16
1690,16
1960,17
8195,17
19667,17
2835,17
19509,17
4662,17
19083,17
1232,18
12280,16
7486,16
7035,16
2720,16
14326,16
12362,16
12883,16
2426,16
10331,17
18203,17
1323,17
1845,17
7344,17
4776,17
6884,17
16723,17
12105,17
12323,17
7540,18
11248,18
537,17
10090,16
13582,16
4611,16
5814,16
12565,16
13223,16
15015,16
4213,16
2299,16
2264,16
4237,16
10191,16
18040,16
8939,17
6466,17
17745,17
3433,17
7234,17
495,17
20977,17
6408,17
8378,17
12208,17
1785,17
13973,17
17332,18
5321,16
365,16
